Monster	Prompt
Rakshasa	tPixArFK, pixel art, fantasy monster, Rakshasa, tiger head, reversed hands, silk robes, jeweled trim, predatory smile, gold accents, arched brows, striped fur
Chimera	tPixArFK, pixel art, fantasy monster, Chimera, lion head, goat head, dragon head, scaled wings, barbed tail, mixed fur, sinewy body, rearing stance
Wyvern	tPixArFK, pixel art, fantasy monster, Wyvern, two-legged dragon, leathery wings, barbed stinger, ridged back, angular jaw, hooked talons, swept tail, predatory gaze
Dracolich	tPixArFK, pixel art, fantasy monster, Dracolich, skeletal dragon, tattered wings, glowing eye sockets, cracked bones, necrotic aura, jagged ribs, ashen horns, cadaverous skull
Naga	tPixArFK, pixel art, fantasy monster, Naga, human torso, snake tail, jewel scales, hooded neck, almond eyes, coiled base, ornate jewelry, serene poise
Yeti	tPixArFK, pixel art, fantasy monster, Yeti, white fur, ape build, broad shoulders, blue skin hints, curved claws, fanged maw, icicle tufts, stooped lumber
Harpy	tPixArFK, pixel art, fantasy monster, Harpy, avian wings, taloned feet, wild hair, gaunt face, hooked nose, ragged feathers, arched back, piercing cry pose
Kraken	tPixArFK, pixel art, fantasy monster, Kraken, colossal tentacles, beaked mouth, bulbous mantle, suction cups, glossy skin, monolithic eye, undulating limbs, ocean leviathan scale
Treant	tPixArFK, pixel art, fantasy monster, Treant, tree trunk body, bark face, branch arms, rooted feet, leafy crown, knotted wood, sap scars, ancient visage
Dryad	tPixArFK, pixel art, fantasy monster, Dryad, bark-textured skin, leaf hair, vine adornments, slender form, almond eyes, natural patterns, barefoot grace, forest aura
Pixie	tPixArFK, pixel art, fantasy monster, Pixie, tiny stature, iridescent wings, pointed ears, petite features, sparkling dust, playful smile, delicate hands, fluttering pose
Myconid	tPixArFK, pixel art, fantasy monster, Myconid, mushroom cap, porous skin, spore clusters, round eyes, stout frame, pale palette, stubby fingers, calm stance
Sahuagin	tPixArFK, pixel art, fantasy monster, Sahuagin, shark features, green scales, webbed hands, dorsal fins, needle teeth, gill slits, sleek physique, predatory stare
Kuo-toa	tPixArFK, pixel art, fantasy monster, Kuo-toa, fishlike head, bulging eyes, slimy skin, wide mouth, webbed feet, crooked posture, dull scales, gaping stare
Specter	tPixArFK, pixel art, fantasy monster, Specter, translucent body, faceless visage, soft glow, tapered wisp, ragged edges, floating posture, cold aura, hollow core
Githyanki	tPixArFK, pixel art, fantasy monster, Githyanki, gaunt features, yellow skin, silver armor, topknot hair, psychic blade, stern eyes, high cheekbones, rigid stance
Githzerai	tPixArFK, pixel art, fantasy monster, Githzerai, lean frame, gray-green skin, shaven head, simple robes, calm gaze, monastic poise, corded muscles, balanced stance
Wraith	tPixArFK, pixel art, fantasy monster, Wraith, shadow body, hooded cowl, glowing eyes, tattered edges, no legs, cold mist, clawed shadows, skeletal hint
Ogre	tPixArFK, pixel art, fantasy monster, Ogre, massive gut, thick limbs, tusked jaw, brow ridge, ragged loincloth, club weapon, stubbly hair, slouched stance
Skeleton	tPixArFK, pixel art, fantasy monster, Skeleton, yellowed bones, empty sockets, ribcage show, bony hands, rusted armor bits, jaw agape, joint gaps, upright stance
Merfolk	tPixArFK, pixel art, fantasy monster, Merfolk, human upper body, scaled tail, dorsal fin, sleek silhouette, flowing hair, pearlescent scales, webbed fingers, elegant poise
Imp	tPixArFK, pixel art, fantasy monster, Imp, small devil, red skin, pointed tail, bat wings, tiny horns, mischief grin, clawed toes, beady eyes
Gorgon	tPixArFK, pixel art, fantasy monster, Gorgon, iron bull, metal plates, glowing eyes, steam snort, spiked crest, heavy hooves, petrifying breath, solid mass
Hobgoblin	tPixArFK, pixel art, fantasy monster, Hobgoblin, tall goblinoid, ruddy skin, square jaw, discipline posture, lamellar armor, broad shoulders, short tusks, stern gaze
Elemental	tPixArFK, pixel art, fantasy monster, Elemental, humanoid shape, pure element, swirling mass, glowing core, dynamic edges, formless limbs, textured energy, shifting outline
Mindwitness	tPixArFK, pixel art, fantasy monster, Mindwitness, beholder variant, central eye, ring tentacles, psionic glow, pale flesh, toothy orifice, bulbous form, symmetry rings
